,video_id,comments
0,bJQQ61Uzlvs,"['Lucu banget bisa ke kunci d lift a 🤗🤗🤗🤗', 'Klo ad org yg mo maling rmh rafi auto bngung...byk org tiap hr trus gk prnh sepi lg😁😁😁', 'Masya Allah hebat banget aa Rafi bisa bangun rumah sebagus itu, istri cantik, anak2 pinter ganteng, MasyaAllah banget aa … sehat sehat dan sukses ya buat aa Rafi dan keluarga', 'Raffi ini loh.. Dari kalo masalah suting bawa acara gk prnah libur.. Slalu ada di semua tv nasional.. Gw gk sanggup dah ngikutin cara kerja nya dia. Hahahha\nSehat dan sukses slalu keluarga Rans karna masih bnyak orang2 yg sayang sama klen Rans.', 'Hasil kerja keras', 'A raffi topp mantap is the best, hahhaa ngakak aa boss kok bisa ke kunci,a raffi jdi percobaan lift baru,panik gk tuhhh wkwkkwkw', 'Gw kalo maen ke sono pasti kaya haaaa…. Aku di mana ini? Siapa aku? Haaaa… astaga… haaa hooo haa hooo… kaya nya dahhh jiwa jiwa misquin aku bergejolak', 'Smoga bisa pny rmh spt itu', 'Masyaallah rmhnya', 'Assalamualaikum warahmatullahi wb info lowongan pekerjaan dong om Rafi khusus wilayah Jakarta 🙏🙏🙏🙏🙏🙏']"
1,huRnEWW6KEU,"['Allahuma sholialasaydina muhammad', 'Sehat terus ya mbak gigi', 'Istana', 'Allahhummasholiala syaidina muhammad semoga rejekinya punya rumah kaya gitu nular amiiin', 'Ga pernah ke lewat nntn .. sneng aja gtu liat keluarga ini . Semoga sehat selalu rans family', 'Percuma rumah bagus kalo masih berantakan. Kaya rumah yg lama nya', 'Asalamualaikum Lombok hadir mbk Nagita AA kami fans anda yg setia menunggu konten anda mbk AA🙏🙏🙏🙏🙏🙏🙏', 'Mama Gigi cantik bangettt....', 'Menurutku TV nya jg terlalu kecil mba gigi..ganti yg besar bgs👍💯', 'Tv nya kurang gede mbaaaa, jadi kalah sama ruangannya']"
2,_ukmtvSSqKU,"['Di mnit 1:42 msa allah cntik', ""MasyaAllah cus rini mang t'best"", ""masyaallah pengajian anak yatim piatu setiap malam jum'at masih berjalan lancar, sukses terus aa raffi"", 'TRENDING 🇮🇩🇮🇩🇮🇩', '""Sus nya terlalu ber ideuuuuu"" Mba Gigi Said', 'Good', 'Asalamualaikum Lombok hadir mbk Nagita AA kami fans anda yg setia menunggu konten anda mbk AA🙏🙏🙏🙏🙏🙏🙏', 'terbiasa liat rumah andara yg putih memanjang', 'sllu seneng lhat mama nagita biarpun kaya tapi sllu sederhana baik hati lgi', 'rans otw 25jt subs']"
3,TJ_hZsUfJjQ,"['Kak klau nonton live nya gimana', 'https://youtube.com/@mastii10mview16', 'Bang tolong laporin polisi chanel atas nama MUDA ENTERTAINMENT dia sudah mmbuat berita palsu tentang anda', 'ihhh seruuu banget keluarga jadi iri gue liat nya', 'Masya Allah rans family bahagia selalu ya ❤', 'Jember kakak😊', 'Kalimantan timur', 'Masyaallah tabarakallah Ya ampun aa, asisten aja dipikirin istirahat nya😊sehat selalu sekeluarga', 'Bahagianya melihat rans family sahur bareng...', 'Tv yg nyamperin Raffi 😅']"
4,dJoLFoqgNlI,"['Masya Allah TabarakAllah rayyanza Malik Ahmad gemes', 'Bismillah,, Selamat menanti berbuka puasa dan menunaikan ibadah sholat magrib untuk yg menjalankan nye,semoga mendapat keberkahan buat kita semua yg melaksanakan puasa Ramadhan ditahun ini,Aamiin', 'Assalamualaikum wr wb\nRagunan jaksel hadir chanel Rans Entertainment\nSemoga sehat selalu,sukses dan selalu diberi kemudahan Om Raffi,keluwarga dan buat crew² semua nye,Aamiin', 'KL hadir🙋\u200d♂️', 'Masya Allah ,, Tabarokallah .. cipung gemuss banget ..', 'The best kata rans', 'Pung kamu kok pintar amat sih', 'Woyy punggggggg', '❤❤❤❤❤', 'MASYAALLAH GUA YAKIN DIBALIK KAOSNYA, TANGAN CIPUNG OTOT SEMUA. BAYI SEMUNGIL ITU KUAT ANGKAT BOLA BASKET🤣']"
5,8ZnA4RnCQaw,"['Assalamualaikum\nsehaat sllu Ranaraci & Rans family\naamiin', 'paling suka liat vlog belanja ka nagita❤', 'Ya allah anyya😅😘cantik\n\nBILA ADA DAN TIADA😂😂', ""Alhamdulillah... Seneng banget liat kalau keluarga rans belanja, pengen rasanya belajar seperti itu ada buat setok puasa. Sehat terus buat A'Rafi,mba nagita, juga buat keluarga semuanya ditambah terus Rizki nya..."", 'Asalamualaikum Lombok hadir mbk Nagita kami fans anda yg setia menunggu konten anda mbk🙏🙏🙏🙏🙏🙏', 'Ketemu mba gigi secara langsung, humble bgt orangnya 😊 gak sombong ❤', 'Ada yang tau ga nagita ngambil shampoo apa yg buat dia sndiri?', 'Rayanzul 😢', 'Raffi puasa 30hari diruma krna malu aibnya terbongkar wkwkw', 'Raffi ahmad biar lu klarifikasi isu lu selingkuh dengn mimi bayuh tidak akan ngaruh untuk pengemar rans lu tetap di cap TUKANG SELINGKUH.\nSetiap ada isu tentan lu dan wanita lain pasti di setiap konten lu cium mesrh nagita contohnya baru² ini saat di jepang.\nSelesai ada kasus pasti lu cium nagita tapi nagita tidak respon.\nLiht dari raut wajah nagita saja seperti orang yg kecewa.\nJangan hanya krna konten lu mau pertahanin rumah tanggamu dan nagita.\nLu kan laki berani berbuat berani brtanggung jawab.\nJujur kepublik klo memang lu udah selingkuh sampai nikah sirih dngan mimi bayuh kasihan istrimu.\nSetelah itu cerikan nagita biar nagita bisa bebas nentuin hidupnya sendiri tidak di kekang.\nKasihan si nagita tekanan batin hnya karna kelakuan lu.\nNagita akan sangat bahagia bila pisah dari lu.\n#NAGITACERAIKANRAFFI#']"
6,UP3kBO02zjY,"['Assalamualaikum\nsehaat sllu Ranaraci & Rans family\naamiin', 'Masa iya?', 'Top mantap is debes', 'Resep simpel n pasti enak,coba aaaahhh', 'Mengandung iklan tapi asik aja nontonnya, RANS memang top👍👍👍', 'Mantap', 'Asyik kak pica udah mulai aktif di konten rans .. salam dari Batam kak pica', 'mantap y RANS di endose am Unilever kecap bango kerenn', 'Sehat selalu keluarga Rans entertainment. Allah jaga dan berikan kebahagiaan selalu untuk keluarga mba gigi dan aa Raffi hingga ke Jannah-Nya. Rafathar dan Rayyanza jadi anak sholeh dan penyejuk hati kedua orangtua. Aamiin.', '❤❤❤ceria Ramadhan. Semoga puasa pertama kita semua selalu beri kelancaran.']"
7,FDzcegwuW8I,"['Assalamualaikum\nsehaat sllu Ranaraci & Rans family\naamiin', 'Pokoknya next ke korea😊', '👍 sukses terus', 'Top mantap is debes', 'Asli aku happy banget lihat Rafathar ketawa renyah. Next ajak fadil dan keanu lagi', 'Mantap', 'Aduh mau pulang liburan nanti Andara rame lagie yeee\nKeluarga bahagia 😘😘\nSeneng liat Rafathar Bercanda trs sama padiledan Keanu', 'Keren', 'Aaaaa masa sedih ih liat rafathar sama fadil dan keanu pisah deh di Indo:""""', 'fix sih fadil keanu hrus ikut keliling dunia brng rans happy bngt liat rfatr bhgia bngt liburn kali ni']"
8,GMUBUyoxWVI,"['Cipung bucinnya papa', 'Suaminya Kiki welcome banget orangnya😎', 'Nonton lari2 ngejar kerta api nya AQ ulang2 smpe lebih 20x saking kebawa suasana nyaaa, sehat2 yaaa idolaaa AQ. Itu sus Rini wajib dapet bonus gedee 👍', 'BAYANGIN KALO PISAH SELAMANYA. MAKANYA RAFFI SETIA SETIA YAH JADI SUAMI.', 'Ketinggalan kereta dan harga tiketnya untuk beli lagi 4 juta/perorang 😢 MasyaAllah, semoga semakin berkah', 'Semoga keluarga rans sehat dan selalu berbagi', 'Top mantap is debes', 'Gg cuek bgt sma raffi ,', 'Rafathar ganteng bget', 'Mantap']"
9,UPZi5ULGxXY,"['thankyou ranssss rasanya kek jalan jalan onlinee, sehat selaluu kak gigi dan keluargaaaa', 'Ketika dilahirkan jadi manusia serba kecukupan sejak lahir \nMenurut kalian enak ga ?', '07:04 suaminya Kiki😭😭', 'Mata Sus rini kenapa bengkak??', 'Hahaha Fadil pke kacamata berkumis ngakak', 'Masyaallah seneng liat si Aa rafatar liburannya ceria banget, ibaratkan kulkas 1000pintunya lagi rusak 😂 wajib klaau liburan ajak om keanu dan om fadil sih.. dan outfitnya rafatar bikin gemes aja sama topinya 😂', 'Cipung🥰', 'Berkah dan bahagia trs keluarga rans', 'Meski cuek, rafathar selalu bela dan jagain mamanya. Cuek2 tapi sweet.', '👍']"
10,6GvfX31j_8E,"['Masya Allah TabarakAllah rayyanza pinter', 'Katanya sus Rini gaberani cium cipung', '👶Oke, aku harus latihan dulu', 'Bngt liat oty masak', 'Jangan terlalu percaya akan sesuatu hal yang sangat membabgong kan', 'Ucucu Amat ya AA si cipung gemes banget', 'Masya Allah rayyanza 😘😘😘', 'Hi Cipung❤', 'Padahal adek udah latihan loh😂😂❤', 'cipung']"
11,8YgsDe9B1PQ,"['sumph happy banget liat rafathar kali ini. terimakasih ka keanu dan ka fadil', 'Top mantap is debes', 'Mantap', 'Seneng banget liat rafathar se happy ini sma keanu dan fadil ♥️', 'Assalamualaikum\nsehaat sllu Ranaraci & Rans family\naamiin', 'kenapa emang', 'Kak gigi jaga kesehatan yah.smga kal gigi slalu dlm lindungan allah swt amin.love you cantik nya akuh kak gigi', 'Sumpahh liburan kli ini terseruu sihh, positive vibes bgtt, liat aa rafathar ktwa terus jadi ikut bahagia? Wkwk, di tmbah cipungg yg gemoyyy', 'rans the world selanjutnya ajakin fadil sma keanu lagi ranss pliss psti bakalan seruuu', 'Menit ke 02.01 sus rini bener2 kaya emak2 yg bekas makanan anaknya dilepeh trs dimakan emaknya…wkwkwk']"
12,IiaLQdeW1cM,"['Top mantap is debes', 'Mantap', 'Assalamualaikum\nsehaat sllu Ranaraci & Rans family\naamiin', 'Si mas siwon ganteng banget.. deh..', 'Kameramen baru ya? Videonya tidak stabil, goyang', 'Subhanallah tabarokalloh, untk keluarga Rans Entertainment, aku kepengin di beri hadiah juga dari Rans Entertainment uang tunai, akan aku pergunakan untuk beli baju lebaran dan sepeda anak aku, akan aku pergunakan untuk modal usaha juga, bismillah semoga dapat hadiah dr Rans Entertainment aamiin, sebelumnya terima kasih banyak..', 'Buka cabang karage kei di surabaya dong kak raffi n mbak gigi 🙏', 'KL hadir🙋\u200d♂️', 'Subhanallah, aa rafi dikasih hadiah sepatu dibalas dgn umrah 2 orang. The best', 'Terharuu🥺']"
13,Lr_PPzkjpRE,"['Masya Allah TabarakAllah sehat selalu semua nya', 'Assalamualaikum wr wb\nRagunan jaksel hadir chanel Rans Entertainment\nSelamat menjalankan puasa dihari ke 2 yg melaksanakan nye semoga diberi kemudahan,kelancaran dan kesehatan buat kita semua yg menjalankan puasa Ramadhan ditahun 2023,Aamiin\nSemoga sehat selalu,sukses dan selalu diberi kemudahan Om Raffi,keluwarga dan buat crew² semua nye,Aamiin', 'Lebih seneng aa deket sm keanu, yg satunya kliatan carmuknya😅😅😅', 'Bismillah, siapa tau ada yg mau beli peralatan dapur saya, ada blender, alat penggorengan, alat pemanggang, buat modal usaha d bulan Ramadhan, semoga ada orang baik yg mau beli aamiin YRA🤲 barakallahu fikum🙏', 'hati hati sama laki laki yg suka bocil laki laki hmmm', 'Hmmm... Dingin2... Mamam curozz... Endul tenan', 'KL hadir🙋\u200d♂️', 'Sedikit kecewa sm kabar terbaru dari aa raffi yg nikah Agustus sm krywannya sndiri 😢', 'Begitu cipung dilepas sus rini, langsung lari2an kemana2🤣', '❤❤❤']"
14,rELYI-DsISQ,"['Up', 'Top mantap is debes', 'Mantap', 'Mama gigi lari2 lucu bgt', 'Abis lebaran rans the world ny ke mekkah dooongggg', 'Masha Allah Mba Gigi cantik bgd , doa ku buat Mba Gigi walau kita bukan keluarga, ak doakan semoga Mba Gigi selalu dalam Lindungan Allah, semoga orang² yg dzolim didepan atau di belakang Mba Gigi semoga secepatnya dikasih hidayah, aamiin .. Dan buat a Raffi klo benar selingkuh atau tidak selingkuh , semoga Allah tegur a Raffi secepatnya .. Aamiin Allahumma amin .. Syg Mba Gigi banyak2 ❤', 'Sip...', 'Ternyata rayanza ama rafatar aanak papah❤', 'Mau blok channel ini gmana ya? Susah banget 😅', 'Rafatarr & rayanzaa🤝🧸🧸🧸🧸🧸🧸🧸🧸🧸🧸🧸🎈🎈🎈🎈🎈🎈🎈🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🇮🇩']"
15,-zU8ZSJpSo0,"['Masya Allah TabarakAllah rayyanza Malik Ahmad smart', 'Hadeeeh lucu sekali ....Rayyanza baby tpi wajahnya lucu n pinteer cerdas n ganteng sprti anak Jepang .....', 'Salfok ma kiki😂😂', '😂😂', 'Manis ny sh senyuman ny de❤❤😊', 'Cipung GEMESS 😘', 'Kasih musik donk..😊', 'Gemes nyaaa😮', 'Langsung ketawa Mba kiki dtg ya ampun gemess bgt kalian😂❤', 'Emang beda yaa bayi kalo ngidam nya Villa 200 Milyar 😅😅']"
16,S9B-zl_CkCQ,"['Mangga presto', 'Manteppp😂❤', 'Rans bikin program ber 4 dong , rafatar , fadil jaidi , keanu, sm kiki saputri pasti seru', 'Nagita idola mah,, 😅😄🤗🤗🤗', 'Up', 'keanuuuu nyoba strawberry nya 😂😂😂😂', 'suka bgt sm keanuu', 'Kesini krna ada fadil dan keanu .', 'Keanuuu luu mood bgtsihhh', 'Gua nonton karena ada keanu 🥲']"
17,6EcypeJWcKg,"['Masya Allah TabarakAllah sehat selalu semua nya Aamiin', '3 pangeran woooo', 'tambah sehat, panjang umur & berkah', 'Dek za asik sendiri😂😂😂😂', 'rayanza mirip beby boss pisan', 'BULAN RAMADHAN KONTEN DARI RANS ENTERTAINMENT YANG PALINGG DI TUNGGUUUUUUU KAYAK SERU AJA NGELIAT NYA PADA KUMPUL HUHUUUU', 'Senang lhat si cipung', 'semoga bos rafi sekeluarg bahagia selamat dunia akerat  saya pengagum ipung minta hadiah lebaran bilang papa ipung❤', 'ipung ipung pintar sekali guanteng😂❤', 'Saya kok gagal focus dengan pikiran a Raffi yg engga ada disitu ya']"
18,ugTQUEBcluQ,"['Masya Allah TabarakAllah', 'salfok sama permata d cincin nya segede gaban😇,smoga rezeqi mmh gigi nular ke saya ,aminnnn yra', 'Yg kena poop burung banyak malah si fadil 😅', 'Kta orang tua itu rezeki mbk gigi ,,,moga sllu brkah n lncar rezekix', 'Rejeki itu katanya🙂🙂', 'Salfok sm cincinnya bisa buat ngejitak orang rese😂', 'Mau dapat rejeki besar, semoga aja dapat anak yg cantik In Shaa Allah ❤', 'Iqstifar say itu kata kata termasuk syirik kecil.bukan mau dapat rezeki.itu kebetulan aja', 'Tandanya mau dapet rejeki itu mbak Gigi❤❤😊', 'Seneng liat Rans Entertainment sama karyawannya . Mereka benar 2 humble']"
19,n48w6SITCmI,"['😍😍😍', 'naroh tasnya dibalik (lagi) wkwkwk', 'RAFATHAR LUCU BANGETTTTT WKWKWKWKWK, GINI GINI TRS YA AA', 'Aa kulkas nya udah rusak❤', 'Saat aa quality time sama papa mama di dlm mobil pas di taman safari Ipung cukup di dampingi para dayang2 hahaha', ""A'a Tolooooong🤣🤣🤣"", 'Males bnr liat ad kiky tukang julid ati2 ka raffi kk gigi', 'Hebat lah Mama 2R bisa masuk & dekat dari keluarga Papa 2R, tapi yg lebih hebat Papa 2R bisa buat Mama 2R bisa sampai saat ini, Mama 2R lebih asik lah dan ga kaku, mungkin jg karena Rafatar bisa jd teman mamanya, jd mamanya lebih ceriah mau ga mau, capek ga capek ngikutin gaya anaknya, God Bless and Anointhing Papa & Mama 2R  and All family & team forever, Amen 😇😇', 'Suster cipung akhirnya bisa ikutan keluar negeri bareng keluarga rans', 'Sip.....']"
